id;cod_mec;cnpj;desc_nome;municipio;uf;desc_rede;endereco;endereco_nro;endereco_bairro;endereco_compl;endereco_cep
22;12022969;63605600000000;ESC ASSOCIACAO MODELAR DE ENSINO A M E;RIO BRANCO;AC;Particular;RUA ANTONIO PINHEIRO SOBRINHO;521;SANTA QUITERIA;;69914355
1797;27225984;1730690000000;COLEGIO NOSSA SENHORA DA CONCEICAO APARECIDA;MACEIO;AL;Particular;MONTE CASTELO;516;VERGEL DO LAGO;;57015130
1801;27035514;4670530000000;COLEGIO SANTA TEREZA;MACEIO;AL;Particular;DA MANGUEIRA;100;VERGEL DO LAGO;1A CRE;57015330
1802;14748;;COL MARIA JOSE OMENA;MACEIO;AL;Particular;GETULIO CORREIA LIMA;144;VERGEL DO LAGO;;57015340
1844;27223191;960706000000;COLEGIO GALILEU;MACEIO;AL;Particular;COMENDADOR LEAO;606;POCO;;57025000
1860;27047083;1087510000000;INSTITUTO EDUCACIONAL PAJUCARA;MACEIO;AL;Particular;RUA LAFAYETE PACHECO;165;PONTA DA TERRA;;57030350
1861;27048225;11085300000000;ESC EDUC BAS PARAISO DAS AGUAS LTDA;MACEIO;AL;Particular;QUINTINO BOCAIUVA;93;PONTA DA TERRA;;57030570
1875;27036626;8623790000000;ESCOLA SAO RAPHAEL;MACEIO;AL;Particular;PREFEITO ABDON ARROXELAS;940;PONTA VERDE;;57035380
1885;27038688;12832400000000;COLEGIO GUIMARAES;MACEIO;AL;Particular;PAULO FALCAO;1086;JATIUCA;13A CRE;57036390
1909;27047059;11396200000000;ESCOLA MOURA CARVALHO;MACEIO;AL;Particular;AURORA;15;JACINTINHO;;57040210
1952;27223752;24171300000000;COLEGIO RUSSELL;MACEIO;AL;Particular;DONA MARIA ALVES DE MELO;503;FAROL;PINHEIRO;57042250
1973;27230627;7793600000000;COLEGIO VILA RICA;MACEIO;AL;Particular;MENINO MARCELO;NULL;SERRARIA;13ACRE;57046000
1989;27036510;12394300000000;ESCOLA DIOGENES JUCA BERNARDES;MACEIO;AL;Particular;RUA ANTENOR MARINHO DE MELO;16;FAROL;;57050390
2023;27223329;12371000000000;CENTRO PEDAGOGICO PAULO FREIRE;MACEIO;AL;Particular;DOS ARTISTAS;40;TABULEIRO DOS MARTINS;14ACRE;57060030
2028;27269000;7273790000000;COLEGIO DIOGO MARCOS;MACEIO;AL;Particular;SANTA LUZIA;3;VILLAGE CAMPESTRE II;TABULEIRO DO MARTINS;57060150
2055;27046443;12711600000000;COLEGIO BATISTA MORIAH LTDA;MACEIO;AL;Particular;RUA GUIOMAR OMENA;NULL;TABULEIRO DO MARTINS;LOT JD PETROPOLIS II;57062640
2061;27299007;1756470000000;ESCOLA DE EDUCACAO BASICA JARDIM DA INFANCIA;MACEIO;AL;Particular;DA PRAIA;16;FERNAO VELHO;;57070090
2072;27282007;1830390000000;COLEGIO RUI BARBOSA;MACEIO;AL;Particular;MUNIZ FALCAO;774;CLIMA BOM;;57071130
2093;27046907;3057870000000;ESCOLA DE EDUCACAO BASICA NOVA VIDA;MACEIO;AL;Particular;MARIA VITORIA CALHEIROS GATTO;NULL;CIDADE UNIVERSITARIA GRACILIANO RAMOS;LOTEAMENTO ACAUA;57073120
2096;27047440;11241400000000;ESCOLA DE 1O GRAU SAO MATHEUS;MACEIO;AL;Particular;RUA 25, QUADRA C3;497;CIDADE UNIVERSITARIA;GRACILIANO RAMOS;57073340
2143;27351017;;ESCOLA NOSSA SENHORA DOS PRAZERES;MACEIO;AL;Particular;ANTONIO DE ANDRADE;NULL;TABULEIRO DOS MARTINS;;57082610
2148;27046362;;ATUAL CURSOS EDUCACAO BASICA;MACEIO;AL;Particular;ZACARIAS FONTAN DE MELO;3;TABULEIRO DO MARTINS;TABULEIRO NOVO;57082845
2167;27370011;1130490000000;ESCOLA DE EDUCACAO BASICA SANTA JULIANA;MACEIO;AL;Particular;A-40;95;TABULEIRO DO MARTINS;QUADRA B 39;57084040
2171;27047245;10893700000000;CENTRO EDUCACIONAL TABERNACULO;MACEIO;AL;Particular;A-40;145;BENEDITO BENTES I;;57084040
2227;27226000;4189730000000;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO CRIATVA LTDA;PILAR;AL;Particular;PRACA FLORIANO PEIXOTO;264;CENTRO;;57150000
2256;27226166;10831400000000;ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PINGO DE GENTE;PENEDO;AL;Particular;RODOVIA ENG JOAQUIM GONCALVES;NULL;DOM CONSTANTINO;;57200000
2284;27047792;11155100000000;ESCOLA DE EDUCACAO BASICA SONHO MEU;SAO MIGUEL DOS CAMPOS;AL;Particular;RUA SAO CRISTOVAO;192;FATIMA;;57240000
2291;27214117;2439270000000;ESCOLA DE EDUCACAO BASICA JESUS BOM PASTOR;TEOTONIO VILELA;AL;Particular;RUA AGENOR LUCIO DE LIMA;154;SAO MIGUEL;;57265000
2316;27284000;69987500000000;ESCOLA DE ENSINO FUNDAMENTAL SANTA IZABEL;ARAPIRACA;AL;Particular;LUZIVALDO BARBOSA MARQUES;50;SAO LUIZ;;57301380
2385;27216632;24467500000000;COLEGIO IMACULADA CONCEICAO;OLHO DAGUA DAS FLORES;AL;Particular;RUA MARECHAL DEODORO DA FONSECA;743;CENTRO;;57442000
2445;27237800;70017500000000;EDUCANDARIO SAGRADO CORACAO DE JESUS;MARIBONDO;AL;Particular;AV SENADOR ARNON DE MELO;NULL;CENTRO;;57670000
2449;27339017;;ESCOLINHA ESTRELA GUIA;BOCA DA MATA;AL;Particular;RUA JOSE PAULO DOS SANTOS;332;CENTRO;;57680000
2495;27047040;8451120000000;EDUCANDARIO MARIA JOSE DE ALENCAR;IBATEGUARA;AL;Particular;RUA PROJETADA;52;CENTRO;;57890000
2530;27048870;;ESCOLA CONQUISTA DO SABER;ARAPIRACA;AL;Particular;SANTOS DUMONT;143;BAIXAO;;57305420
5698;13025082;14177400000000;ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA - COLEGIO MARTHA FALCAO;MANAUS;AM;Particular;NATAL;300;ADRIANOPOLIS;;69057090
5724;13026356;;CENTRO EDUC SILVIA GUERRA;MANAUS;AM;Particular;CODAJAS;570;CACHOEIRINHA;;69065130
5779;13073923;22774200000000;CENTRO EDUCACIONAL COLIBRI;MANAUS;AM;Particular;OURO PRETO;193;COROADO II;;69080430
5798;13026070;;CENTRO EDUCACIONAL BATISTA CANAA;MANAUS;AM;Particular;ROSARINHO;NULL;SAO JOSE OPERARIO;SAO JOSE I;69085070
5839;13098306;;INSTITUTO ENSINO THIAGO BRANDAO DE OLIVEIRA;MANAUS;AM;Particular;CRISTA;31;NOVO ISRAEL;;69093437
5862;13026321;63669400000000;CENTRO EDUCACIONAL RECANTO DA CRIANCA INTERATIVO;MANAUS;AM;Particular;CIRIACO;12;CIDADE NOVA;CIDADE NOVA V;69096700
5867;13025651;63734600000000;CENTRO EDUCACIONAL PARQUE DAS HORTENSIAS;MANAUS;AM;Particular;CAMETA;4;CIDADE NOVA 2;CIDADE NOVA II;69097440
5986;13098322;;CENTRO DE ENSINO SEMENTINHA DO FUTURO;MANAUS;AM;Particular;ANTONIA CARNEIRO;17;CIDADE NOVA I;CJ. R.S. PINTO 2;69095720
11428;16007735;;NUCLEO DE EDUCACAO INTEGRADA - NEI;MACAPA;AP;Particular;Creuza Mendes Holanda;1040;Muca;;68902280
11447;16009380;;CENTRO DE ENSINO PODIUM;MACAPA;AP;Particular;AV ERNESTINO BORGES;97;CENTRAL;;68908010
11518;1000004766;9135100000000;CENTRO ENS ESTACAO DA CRIANCA;AMAPA;AP;Particular;CLAUDOMIRO DE MORAIS;1390;CONGOS;;68950000
12495;1000005316;2849920000000;COL DARCY RIBEIRO;SALVADOR;BA;Particular;BARROS FALCAO;19;MATATU;;40255370
12721;29422299;96786800000000;CURSO E COLEGIO ANALISE;SALVADOR;BA;Particular;GUILHERME MARBACK;13;BOMFIM;;40415160
13472;29449723;;COLEGIO YOLANDA ROCHA;SALVADOR;BA;Particular;DA FONTE;34;ITAPUA;KM 17;41630670
13612;29435242;16189400000000;CRECHE ESCOLA APRENDENDO COM JESUS;SALVADOR;BA;Particular;VISCONDE DE ITABORAHY;41;NORDESTE DE AMARALINA;;41900000
13690;29359287;40484700000000;COLEGIO PIRAMIDE;LAURO DE FREITAS;BA;Particular;RUA TEREZA NOGUEIRA DE SOUZA;91;CENTRO;;42700000
13740;29454379;;CENTRO EDUCACIONAL DEJEANE MARTINS;LAURO DE FREITAS;BA;Particular;RUA LOTEAMENTO JARDIN TROPICAL QUADRA 2 LOTE 80;NULL;ITINGA;;42700000
13766;29398053;13248500000000;ESCOLA DOM PEDRO II;CAMACARI;BA;Particular;EIXO URBANO CENTRAL;906;CENTRO;;42800110
13795;1000002855;4860890000000;ESC EDUCAR BRINCANDO LTDA;CAMACARI;BA;Particular;DA GLORIA;23;GLEBA C;;42803010
13902;29437237;3756090000000;JUVENTUDE DA INF SIMOES FILHO;SIMOES FILHO;BA;Particular;INOCENCIO ANTONIO DA ROCHA;419;PONTO DE PARADA;;43700000
13920;29432995;14666800000000;ESCOLA SANTA RITA;CANDEIAS;BA;Particular;NOVA DO PASSE;49;CENTRO;CASA;43805110
13988;29982774;10535400000000;ESCOLA PENIEL;FEIRA DE SANTANA;BA;Particular;E - I;23;CONJUNTO FEIRA X;;44006375
14018;29387450;;ESC CASINHA FELIZ;FEIRA DE SANTANA;BA;Particular;Q 1;405;GEORGE AMERICO;;44020610
14048;29395879;34055600000000;COLEGIO BILAC;FEIRA DE SANTANA;BA;Particular;PRIMAVERA;695;PAMPALONA;;44031090
14060;29382513;;ESC PROFA JUCELIA OLIVEIRA CARNEIRO;FEIRA DE SANTANA;BA;Particular;A;13;CAMPO LIMPO;CONJ FEIRA VI;44033339
14074;29365805;13896900000000;ESCOLA VINICIUS DE MORAES;FEIRA DE SANTANA;BA;Particular;CAMINHO 1;7;CONJUNTO FEIRA V;CONJ FEIRA V;44037000
14093;29382319;4927840000000;EDUCANDARIO MEN DE SA;FEIRA DE SANTANA;BA;Particular;RUA IRAN NUMERO;149;CASEB;;44045400
14098;29442524;6957250000000;ESC ENCANTO CRIANCA;FEIRA DE SANTANA;BA;Particular;INT ABDON;1111;QUEIMADINHA;;44050024
14195;29793629;8470710000000;COLEGIO EBENEZER;FEIRA DE SANTANA;BA;Particular;RUA L CAMINHO AXX;18;FEIRA X;;44085000
14259;29442567;5480350000000;COLEGIO MUNDO MAGICO;SANTO ESTEVAO;BA;Particular;PRACA 21 DE SETEMBRO;500;CENTRO;;44190000
14281;29441714;7150580000000;COLEGIO MILENIUM;SANTO AMARO;BA;Particular;PRACA DA PURIFICACAO;78;CENTRO;CASA;44200000
14354;29999863;5442520000000;ESCOLA RECANTO DO SABER;CABACEIRAS DO PARAGUACU;BA;Particular;LOTEAMENTORECANTO DOS PEREIRAS;NULL;GEOLANDIA;;44345000
14374;29391431;1858090000000;ESCOLA CORES VIVAS;CRUZ DAS ALMAS;BA;Particular;RUA DA ASSEMBLEIA;700;CRUZ DAS ALMAS;PREDIO;44380000
